Zeitpunkt,Kanton,Ort,Höhe,Expo,Aktivität,Gef. Stufe,erfasst,verschüttet,gestorben
30/12/2004,BE,St. Stephan,2290,NW,1,3,1,0,0
30/12/2004,BE,St. Stephan,2260,N,1,3,1,1,1
30/12/2004,VS,Bagnes,3220,SE,1,3,2,1,1
31/12/2004,GR,Mesocco,2595,E,1,3,1,0,0
4/1/2005,VS,Leytron,2280,NE,2,3,1,0,0
7/1/2005,GR,Davos,2510,NE,2,3,1,0,0
8/1/2005,GR,Schiers,2380,NE,1,3,1,0,0
8/1/2005,GL,Engi,2240,NW,1,2,1,0,0
22/1/2005,GR,Davos,2365,SW,2,4,3,0,0
22/1/2005,GR,Davos,1895,E,2,(4),2,1,0
22/1/2005,GR,Davos,2580,S,2,4,1,1,0
22/1/2005,VS,Bagnes,2110,NE,2,3,1,0,0
22/1/2005,UR,Andermatt,2200,N,2,3,1,0,0
22/1/2005,BE,Zweisimmen,1990,W,2,3,1,1,0
22/1/2005,GR,Klosters-Serneus,1950,NE,2,(4),2,0,0
22/1/2005,VS,Saint Luc,2370,N,2,3,1,1,0
22/1/2005,VS,Bagnes,2440,NW,2,3,1,1,0
22/1/2005,VS,Nendaz,2040,N,2,3,2,0,0
23/1/2005,VS,Saas-Fee,2325,NW,2,3,1,1,1
23/1/2005,VS,Lens / Icogne,2120,NW,2,3,2,2,2
23/1/2005,TI,Airolo,1980,N,2,3,1,1,0
24/1/2005,BE,Kandersteg / Kandergrund,2400,W,3,3,8,0,0
24/1/2005,BE,Grindelwald,0,,2,3,1,0,0
25/1/2005,VS,Orsières,2206,NE,2,3,1,0,0
25/1/2005,VS,Bagnes,2700,W,2,3,2,1,0
26/1/2005,GR,Luzein,2150,NE,1,3,1,0,0
27/1/2005,GR,Fideris,2060,N,1,3,1,1,0
27/1/2005,VD,Château-d’Œx,2000,SW,2,3,1,1,0
28/1/2005,GR,Davos,2300,W,2,3,6,1,0
29/1/2005,GR,Parpan,2450,W,2,3,1,1,0
29/1/2005,GR,Tavetsch/Tujetsch,2790,NW,2,3,2,0,0
30/1/2005,UR,Andermatt,2700,N,2,3,2,0,0
3/2/2005,GR,Tschierv / Valchava (?),2450,NE,2,3,2,0,0
3/2/2005,GR,Peist,2420,SW,1,3,3,2,0
4/2/2005,GR,Vaz/Obervaz,2450,W,2,3,3,0,0
4/2/2005,GR,Davos,2480,N,2,3,4,1,0
5/2/2005,VS,Bourg-Saint-Pierre,2810,NE,1,3,2,1,0
5/2/2005,GR,Klosters-Serneus,2485,N,1,3,1,1,1
5/2/2005,GL,Engi,2280,NW,1,2,1,0,0
5/2/2005,GR,Davos,2805,NW,1,3,2,2,1
6/2/2005,GR,Davos,2380,W,2,3,1,0,0
6/2/2005,VS,Liddes,2460,NW,1,3,3,0,0
6/2/2005,GR,Madulain,2470,NE,1,3,2,2,2
8/2/2005,VS,Orsières,2360,N,1,2,8,0,0
8/2/2005,GR,Vals,1940,N,1,(2),1,1,1
13/2/2005,GR,Davos,2490,SE,2,3,1,0,0
13/2/2005,VS,Zermatt,2410,NW,2,3,1,0,0
17/2/2005,VS,Nendaz / Riddes (?),2600,W,2,3,3,0,0
17/2/2005,GR,Stampa,2020,S,1,2,1,0,0
18/2/2005,UR,Hospental,2050,NW,1,3,1,1,0
19/2/2005,GR,Tschlin,2850,NE,1,2,1,1,0
20/2/2005,GR,Churwalden,1930,NW,2,(3),2,1,1
22/2/2005,GR,Arosa,2420,SE,2,3,3,2,0
22/2/2005,GR,Müstair,2870,SE,1,2,7,1,0
22/2/2005,BE,Brienz,2040,NW,1,3,1,1,0
24/2/2005,VS,Evolène,3100,S,1,2,2,0,0
24/2/2005,GR,Davos,2510,SW,2,3,2,1,0
25/2/2005,VS,Saint-Gingolph,1460,NW,1,(2),3,2,2
25/2/2005,VS,Nendaz,3060,NW,1,2,2,0,0
26/2/2005,GR,Mathon,2440,S,1,2,4,0,0
6/3/2005,GR,St. Antönien,2380,W,1,2,2,0,0
7/3/2005,BE,Därstetten,1870,SW,2,2,1,1,0
7/3/2005,VS,Bourg-Saint-Pierre,2590,S,1,(2),1,0,0
7/3/2005,VS,Bourg-Saint-Pierre,2460,NE,1,2,1,0,0
8/3/2005,VS,Bagnes,2300,SW,1,(2),2,0,0
8/3/2005,GR,Guarda,3065,S,1,(2),1,0,0
10/3/2005,OW,Kerns,1940,NE,2,(3),1,0,0
10/3/2005,SG,Quarten / Flums (?),2100,E,2,3,2,0,0
10/3/2005,GR,Zernez,2700,,1,3,6,2,0
10/3/2005,VS,Saas-Fee,3290,NE,1,3,1,1,1
10/3/2005,GR,Celerina/Schlarigna,2920,SE,1,3,1,0,0
10/3/2005,GR,Siat,2010,SE,2,3,1,1,1
10/3/2005,SZ,Muotathal,1630,E,1,(3),2,0,0
11/3/2005,GR,Davos,2480,NE,2,3,1,0,0
11/3/2005,UR,Realp,2860,NE,1,3,1,0,0
12/3/2005,BE,Grindelwald,2380,S,1,2,2,1,1
12/3/2005,GR,St. Antönien,2200,NE,1,3,1,0,0
12/3/2005,VS,Binn,2360,NW,1,2,1,0,0
13/3/2005,GL,Mühlehorn,1400,NE,1,(3),1,1,0
13/3/2005,SG,Alt St. Johann,1350,NW,1,(3),1,1,1
13/3/2005,SZ,Riemenstalden,2240,N,1,3,1,0,0
13/3/2005,UR,Unterschächen,2240,NE,1,3,3,0,0
13/3/2005,SG,Grabs,1540,N,1,(3),1,0,0
13/3/2005,LU,Flühli,1720,E,1,(3),4,0,0
13/3/2005,BE,Reichenbach im Kandertal,2305,NE,1,3,6,1,0
13/3/2005,GL,Schwanden,1880,N,1,(3),1,0,0
13/3/2005,BE,Kandersteg,2605,SE,1,3,2,0,0
14/3/2005,NW,Wolfenschiessen,2190,NW,1,(3),5,3,0
14/3/2005,GR,St. Antönien,2230,NE,1,3,1,0,0
14/3/2005,FR,Charmey,1550,NW,1,(2),1,0,0
14/3/2005,GR,Langwies,2600,NW,2,3,2,0,0
14/3/2005,GR,Zuoz,2640,S,1,(2),1,1,0
14/3/2005,GL,Obstalden,1780,NW,1,(3),3,3,3
16/3/2005,GR,Davos,1900,SW,2,(2),1,0,0
18/3/2005,BE,Lauterbrunnen,2690,SE,3,(2),1,0,0
28/3/2005,GR,Pontresina,2900,NE,1,2,3,1,0
1/4/2005,VS,Orsières,3100,NE,1,-,2,0,0
2/4/2005,GL,Linthal,2340,N,1,(1),5,0,0
2/4/2005,GR,Bivio,2760,NW,1,1,1,1,0
2/4/2005,OW,Engelberg,2700,N,1,1,1,0,0
9/4/2005,OW,Giswil,2070,SE,3,(3),3,3,0
10/4/2005,VS,Wiler Lötschen,2760,E,2,3,1,0,0
12/4/2005,VS,Leukerbad,2290,SE,1,3,1,0,0
16/4/2005,VS,Bourg-Saint-Pierre,2680,N,1,-,2,0,0
21/4/2005,VS,Hérémence,2900,N,1,2,4,3,2
21/4/2005,VS,Orsières,3250,SE,1,2,1,0,0
22/4/2005,VS,Bagnes,3050,N,1,3,3,1,1
24/4/2005,BE,Rüschegg,2100,NE,1,(2),1,0,0
27/4/2005,BE,Adelboden,2260,N,1,(2),1,0,0
27/4/2005,GR,Scuol,3020,N,1,2,1,0,0
1/5/2005,GR,Susch,2940,SE,1,3,1,0,0
1/5/2005,GR,Susch,2460,NE,1,3,2,0,0
4/6/2005,BE,Gadmen,2880,N,1,-,2,0,0
12/7/2005,VS,Fieschertal,3890,SW,1,-,11,0,0
2/8/2005,VS,Saas-Fee,0,,1,-,2,0,0
10/12/2005,VS,Zermatt,3300,NE,2,2,1,0,0
11/12/2005,VD,Ormont-Dessus,2370,SW,1,2,2,0,0
11/12/2005,FR,Haut-Intyamon,1570,S,1,(2),2,0,0
17/12/2005,GR,Falera,1980,E,2,4,1,1,0
17/12/2005,FR,Schwarzsee,1480,N,1,(3),3,2,0
18/12/2005,GR,Samnaun,2500,,2,4,2,1,0
18/12/2005,VS,Bagnes,2640,W,2,3,1,0,0
19/12/2005,GR,Vaz/Obervaz,2300,SE,,3,1,0,0
30/12/2005,GR,Zuoz,2680,SE,1,2,1,1,1
31/12/2005,SG,Wildhaus,1950,NW,1,2,1,0,0
31/12/2005,GR,Disentis/Mustér,2110,SE,2,3,1,0,0
31/12/2005,OW,Engelberg,2000,NW,2,3,1,0,0
31/12/2005,SG,Wildhaus,2050,NW,1,2,3,0,0
31/12/2005,VS,Lax,1920,SE,,3,3,0,0
1/1/2006,BE,Habkern,1900,W,1,2,1,0,0
1/1/2006,BE,Reichenbach im Kandertal,1990,W,1,3,1,0,0
1/1/2006,VS,Nendaz,2650,N,2,3,1,0,0
1/1/2006,OW / LU,Giswil / Flühli,2000,NE,2,2,1,0,0
1/1/2006,NW,Wolfenschiessen,2350,NW,2,3,2,0,0
3/1/2006,VS,Nendaz,2850,N,2,3,1,1,1
3/1/2006,GR,Davos,2200,E,1,3,1,0,0
3/1/2006,UR,Unterschächen,2230,N,1,3,1,0,0
4/1/2006,VS,Trient,2000,NW,2,3,2,0,0
5/1/2006,BE,Hasliberg,2448,SW,2,2,1,0,0
5/1/2006,BE,Diemtigen,2310,W,1,3,2,0,0
5/1/2006,BE,Meiringen,2440,N,1,2,2,0,0
5/1/2006,GR,Bivio,2600,SW,1,2,1,0,0
6/1/2006,BE,Diemtigen,2320,N,1,2,1,0,0
6/1/2006,UR,Andermatt,2880,SE,1,2,1,0,0
7/1/2006,VS,Fully,2720,SW,1,2,1,0,0
8/1/2006,VS,Vouvry,2060,SW,1,2,3,2,0
8/1/2006,VD,Bex,2710,W,1,2,2,1,1
8/1/2006,GR,Davos,2625,E,1,2,1,0,0
8/1/2006,BE,Saanen,2125,W,1,2,1,0,0
8/1/2006,UR,Andermatt,2120,NW,1,2,1,0,0
19/1/2006,SG,Alt St. Johann,1530,W,2,(3),1,0,0
19/1/2006,OW,Engelberg,2350,NW,2,3,1,1,0
20/1/2006,OW / LU,Giswil / Flühli,2020,NE,2,3,2,1,1
20/1/2006,GR,Davos,2420,E,1,3,1,0,0
20/1/2006,GR,Tschiertschen,2500,NW,2,3,1,0,0
20/1/2006,BE,Rüschegg,1620,N,1,3,1,0,0
21/1/2006,SG,Quarten,2000,NW,2,3,4,1,1
21/1/2006,BE,Rüschegg,1835,NW,1,3,1,1,1
22/1/2006,SZ,Muotathal,1840,NW,1,(3),2,0,0
23/1/2006,GR,Samnaun,2310,NE,2,3,1,1,0
28/1/2006,GR,Bivio,1980,SE,1,(3),2,0,0
28/1/2006,GR,Davos,2460,NE,2,3,1,0,0
28/1/2006,GR,Bivio,1930,E,,(3),1,0,0
29/1/2006,OW,Giswil,1650,N,1,(2),1,0,0
29/1/2006,BE,Diemtigen,1980,NW,1,2,2,0,0
30/1/2006,GR,Riom Parsonz,2170,NE,2,2,1,1,1
30/1/2006,VS,Orsières,2220,NW,1,3,3,0,0
30/1/2006,UR,Andermatt,0,,2,3,1,0,0
30/1/2006,UR,Andermatt,2660,N,2,3,1,1,0
30/1/2006,UR,Hospental / Andermatt (?),2620,N,2,3,1,0,0
30/1/2006,UR,Andermatt,2660,SW,2,3,1,0,0
31/1/2006,GR,Falera,2390,NE,2,2,1,0,0
1/2/2006,VS,Ferden,1920,SE,1,2,1,1,0
1/2/2006,UR,Realp,2380,E,1,3,1,0,0
4/2/2006,GR,Disentis/Mustér,1960,N,2,(2),1,1,0
5/2/2006,GR,Safien,2160,NE,1,2,3,0,0
7/2/2006,TI,Quinto,2100,SE,1,2,2,0,0
9/2/2006,SG,Grabs,2000,N,1,3,2,0,0
11/2/2006,GR,Vals / Hinterrhein (?),2500,,1,2,1,0,0
11/2/2006,UR,Andermatt,2275,NE,2,3,1,0,0
11/2/2006,VS,Fully,2640,NE,1,2,1,0,0
11/2/2006,GR,Davos,2200,NE,2,3,2,0,0
11/2/2006,GR,Avers,2440,SW,1,2,1,1,0
12/2/2006,GR,Tschiertschen,2310,NE,2,2,1,0,0
12/2/2006,GR,St. Antönien,2330,NE,1,2,1,0,0
12/2/2006,GR,St. Antönien-Ascharina,2230,NE,1,2,2,0,0
12/2/2006,SZ,Muotathal,1860,N,2,2,1,0,0
13/2/2006,GR,Guarda,2530,SE,1,2,2,0,0
16/2/2006,SO,Balm bei Günsberg,1330,N,1,-,1,1,0
16/2/2006,SG,Vilters-Wangs,1900,NW,,3,1,0,0
17/2/2006,GR,Medel (Lucmagn),2020,N,1,3,1,1,0
17/2/2006,GR,Davos,2640,NE,2,3,1,1,0
18/2/2006,VS,Bagnes,2180,NE,2,3,1,1,0
18/2/2006,VS,Liddes,2350,N,,3,3,1,0
18/2/2006,VS,Nendaz,1940,N,2,(3),1,0,0
18/2/2006,GR,Zweisimmen,1920,NW,2,(3),1,0,0
19/2/2006,VS,Bagnes,2640,S,2,3,1,1,0
19/2/2006,VS,Zermatt,2820,NW,2,3,1,1,1
19/2/2006,GR,Poschiavo,2140,NE,1,3,1,1,1
19/2/2006,GR,Klosters-Serneus,2120,NE,2,3,2,0,0
20/2/2006,GR,Langwies,2145,SW,2,3,1,0,0
20/2/2006,GR,Davos,2120,W,2,3,1,0,0
20/2/2006,VS,Nax,2500,E,2,3,1,0,0
20/2/2006,GR,Davos,2330,W,1,3,1,0,0
20/2/2006,GR,Obersaxen,2060,N,2,3,1,0,0
20/2/2006,GR,Silvaplana,2380,NW,2,3,1,1,0
20/2/2006,GR,Disentis/Mustér,2110,N,2,3,4,3,3
21/2/2006,VS,Riddes,2650,NW,2,3,1,0,0
21/2/2006,VS,Orsières,2370,W,1,3,2,0,0
21/2/2006,GR,Surcuolm,1550,N,2,(3),1,0,0
21/2/2006,GR,Klosters-Serneus,2080,N,2,3,1,0,0
21/2/2006,VS,Orsières,2060,N,2,3,1,1,1
22/2/2006,VS,Collombey-Muraz,2000,N,1,2,1,1,1
22/2/2006,GR,Silvaplana,2400,S,1,3,2,0,0
22/2/2006,GR,Avers,2200,NE,1,3,2,0,0
23/2/2006,GR,Riom Parsonz,2220,NE,2,3,1,1,0
23/2/2006,GR,Tavetsch/Tujetsch,2400,W,1,3,1,1,1
23/2/2006,VS,Bagnes,2250,W,,3,1,0,0
23/2/2006,VS,Chalais,2530,NW,1,3,1,0,0
23/2/2006,VS,Liddes,2620,W,1,3,1,0,0
25/2/2006,VS,Zermatt,2960,N,2,3,1,1,1
25/2/2006,GR,S-chanf,2680,SE,1,3,2,1,0
25/2/2006,BE,Hasliberg,2300,W,2,2,1,0,0
25/2/2006,VS,Zermatt,3130,NW,2,3,1,0,0
25/2/2006,VS,Zermatt,2360,N,2,3,1,0,0
26/2/2006,VS,Bourg-Saint-Pierre,2400,N,1,3,2,2,0
26/2/2006,VS,Orsières,2040,N,2,3,1,0,0
26/2/2006,VS,Zermatt,2690,W,2,3,1,0,0
3/3/2006,VS,Nendaz,2000,NE,2,3,1,0,0
4/3/2006,None,None,2030,N,3,3,3,0,0
4/3/2006,VD,Ormont-Dessus,2100,NW,1,4,2,1,1
4/3/2006,GR,Churwalden,2100,N,2,3,3,0,0
6/3/2006,BE,Lauterbrunnen,2720,SE,2,3,1,0,1
6/3/2006,SG,Grabs,1760,E,2,(3),6,0,0
6/3/2006,VS,Bagnes / Nendaz (?),2700,,,3,3,0,0
6/3/2006,VS,Riddes,2220,NE,2,3,3,0,0
